S.No,City,Air Quality,Index Value,Prominent Pollutant,Based on Number of Monitoring Stations
182,Sawai Madhopur,Satisfactory,64,PM10,1
183,Shillong,Good,23,"PM10, PM2.5",2
184,Shivamogga,Satisfactory,53,PM2.5,1
185,Sikar,Moderate,125,PM10,1
186,Silchar,Good,42,CO,1
187,Siliguri,Satisfactory,67,PM10,1
188,Singrauli,Satisfactory,99,NO2,1
189,Sirohi,Satisfactory,67,PM10,1
190,Sirsa,Satisfactory,56,PM2.5,1
191,Sivasagar,Good,20,PM10,1
192,Siwan,Moderate,101,PM10,1
193,Solapur,Satisfactory,67,"PM10, PM2.5",3
194,Sri Ganganagar,Moderate,179,PM10,1
195,Suakati,Satisfactory,75,PM10,1
196,Surat,Moderate,173,PM10,1
197,Tensa,Good,40,PM10,1
198,Thane,Good,49,"CO, PM10",2
199,Thiruvananthapuram,Good,33,"CO, PM10",2
200,Thoothukudi,Satisfactory,67,PM10,1
201,Thrissur,Satisfactory,58,PM10,1
202,Tirupati,Good,46,PM10,2
203,Tirupur,Satisfactory,63,PM10,1
204,Tonk,Moderate,145,PM10,1
205,Tumakuru,Satisfactory,52,CO,1
206,Udaipur,Satisfactory,82,PM10,1
207,Ujjain,Satisfactory,80,PM10,1
208,Ulhasnagar,Satisfactory,64,PM10,1
209,Vapi,Satisfactory,61,PM10,1
210,Varanasi,Good,45,"O3, PM10",4
211,Vatva,Satisfactory,80,PM10,1
212,Vijayapura,Good,46,PM10,1
213,Vijayawada,Satisfactory,54,PM10,1
214,Vrindavan,Good,38,PM10,1
215,Yadgir,Good,38,PM10,1
216,Yamunanagar,Satisfactory,72,PM10,1
